customer_id,product_category,coupon_type,region,order_date,order_amount,discount_amount,final_amount,year,month,units_sold,customer_income,coupon_used,discount_percentage,savings_per_unit,sales_category,month_name
3068,Books,Flat,East,2023-11-17,1971,4708,0,2023,11,1,53922,1,238.86,4708.0,,November
3888,Clothing,Buy1Get1,West,2023-12-04,17601,2431,15170,2023,12,9,21104,1,13.81,270.11,High,December
3214,Books,Buy1Get1,Central,2023-10-14,3892,328,3564,2023,10,6,85959,1,8.43,54.67,Low,October
2297,Books,Flat,North,2022-10-24,18935,4382,14553,2022,10,7,20878,1,23.14,626.0,Medium,October
3435,Beauty,Flat,Central,2022-04-29,9527,1852,7675,2022,4,8,61391,1,19.44,231.5,Medium,April
1600,Groceries,Flat,Central,2024-02-26,19356,4801,14555,2024,2,2,134188,1,24.8,2400.5,Medium,February
3363,Books,Buy1Get1,South,2022-03-17,1111,2327,0,2022,3,4,100482,1,209.45,581.75,,March
3061,Books,Free Shipping,East,2023-09-13,9207,2020,7187,2023,9,6,43394,1,21.94,336.67,Medium,September
1241,Beauty,Percentage,North,2023-09-23,17557,686,16871,2023,9,8,147625,1,3.91,85.75,High,September
3041,Home & Kitchen,Free Shipping,Central,2024-05-30,10354,1704,8650,2024,5,3,57895,1,16.46,568.0,Medium,May
3824,Toys,Buy1Get1,Central,2022-09-15,13577,3096,10481,2022,9,10,25551,1,22.8,309.6,Medium,September
4417,Electronics,Flat,East,2023-06-16,19686,465,19221,2023,6,7,86965,1,2.36,66.43,High,June
3612,Beauty,Flat,Central,2023-09-23,2000,4403,0,2023,9,2,116795,1,220.15,2201.5,,September
3945,Groceries,Percentage,Central,2022-12-17,17392,1101,16291,2022,12,3,37573,1,6.33,367.0,High,December
2363,Beauty,Percentage,Central,2023-10-11,5333,3163,2170,2023,10,6,131994,0,59.31,527.17,Low,October
3139,Clothing,Free Shipping,Central,2022-10-04,8961,4909,4052,2022,10,6,113492,1,54.78,818.17,Low,October
2390,Home & Kitchen,Free Shipping,South,2022-09-12,1169,3771,0,2022,9,8,89497,1,322.58,471.38,,September
4003,Home & Kitchen,Percentage,South,2022-09-21,4279,4890,0,2022,9,9,23699,1,114.28,543.33,,September
2478,Books,Buy1Get1,West,2023-11-10,18463,4392,14071,2023,11,1,140267,0,23.79,4392.0,Medium,November
4499,Home & Kitchen,Free Shipping,North,2023-11-08,15801,1565,14236,2023,11,3,195522,1,9.9,521.67,Medium,November
3556,Home & Kitchen,Flat,East,2022-01-29,14888,3665,11223,2022,1,1,29057,1,24.62,3665.0,Medium,January
1775,Home & Kitchen,Flat,West,2023-04-12,3519,4851,0,2023,4,10,114592,1,137.85,485.1,,April
1034,Home & Kitchen,Buy1Get1,South,2022-02-04,4905,3227,1678,2022,2,4,135833,1,65.79,806.75,Low,February
3253,Electronics,Percentage,South,2024-01-19,6811,2803,4008,2024,1,9,158625,1,41.15,311.44,Low,January
4152,Groceries,Free Shipping,South,2022-10-21,15459,133,15326,2022,10,9,187747,1,0.86,14.78,High,October
2955,Books,Flat,West,2023-08-25,587,791,0,2023,8,3,38446,1,134.75,263.67,,August
2585,Home & Kitchen,Percentage,South,2022-07-22,14185,1032,13153,2022,7,2,51974,0,7.28,516.0,Medium,July
4943,Books,Free Shipping,West,2024-01-10,8267,3703,4564,2024,1,2,164911,1,44.79,1851.5,Low,January
4459,Groceries,Buy1Get1,South,2022-03-09,13246,3270,9976,2022,3,10,48233,1,24.69,327.0,Medium,March
4073,Toys,Flat,Central,2022-05-11,2689,1272,1417,2022,5,9,94201,1,47.3,141.33,Low,May
2021,Home & Kitchen,Buy1Get1,Central,2024-05-26,8907,3122,5785,2024,5,9,137487,0,35.05,346.89,Medium,May
4461,Books,Buy1Get1,North,2022-04-21,3090,4223,0,2022,4,5,85381,1,136.67,844.6,,April
3613,Beauty,Buy1Get1,South,2023-06-08,12532,4397,8135,2023,6,8,124689,1,35.09,549.62,Medium,June
2129,Books,Free Shipping,North,2022-10-15,1642,2688,0,2022,10,6,71900,1,163.7,448.0,,October
4843,Home & Kitchen,Buy1Get1,West,2023-11-18,922,2596,0,2023,11,4,178741,0,281.56,649.0,,November
4893,Clothing,Free Shipping,North,2024-04-10,9147,4110,5037,2024,4,9,160470,1,44.93,456.67,Medium,April
2500,Electronics,Free Shipping,South,2023-10-28,2450,1447,1003,2023,10,10,85984,1,59.06,144.7,Low,October
1702,Beauty,Buy1Get1,West,2022-02-12,18492,3261,15231,2022,2,1,84120,1,17.63,3261.0,High,February
3449,Beauty,Buy1Get1,West,2024-05-24,2786,897,1889,2024,5,2,192066,1,32.2,448.5,Low,May
3777,Clothing,Percentage,Central,2023-12-18,8777,1218,7559,2023,12,8,189711,0,13.88,152.25,Medium,December
2579,Home & Kitchen,Flat,West,2023-11-15,6973,473,6500,2023,11,3,106259,1,6.78,157.67,Medium,November
1161,Electronics,Percentage,West,2022-10-21,11407,4624,6783,2022,10,10,73705,1,40.54,462.4,Medium,October
1201,Beauty,Flat,North,2022-10-12,15273,1283,13990,2022,10,5,184072,1,8.4,256.6,Medium,October
2981,Electronics,Flat,West,2024-04-02,12847,2163,10684,2024,4,5,32665,1,16.84,432.6,Medium,April
1995,Beauty,Percentage,East,2023-07-18,8390,3605,4785,2023,7,7,55466,0,42.97,515.0,Low,July
3317,Home & Kitchen,Percentage,Central,2023-09-19,4287,4206,81,2023,9,9,187153,0,98.11,467.33,Low,September
4934,Toys,Flat,Central,2022-01-19,5278,4348,930,2022,1,4,116682,0,82.38,1087.0,Low,January
1815,Beauty,Flat,West,2023-05-22,8342,4774,3568,2023,5,3,183716,1,57.23,1591.33,Low,May
4342,Toys,Flat,North,2023-07-01,12692,3078,9614,2023,7,1,43156,1,24.25,3078.0,Medium,July
1455,Beauty,Free Shipping,Central,2022-02-17,19902,2876,17026,2022,2,9,44247,1,14.45,319.56,High,February
4533,Groceries,Flat,Central,2024-01-15,3238,931,2307,2024,1,5,81616,1,28.75,186.2,Low,January
4798,Home & Kitchen,Buy1Get1,East,2022-08-07,9464,2791,6673,2022,8,1,58466,1,29.49,2791.0,Medium,August
2275,Clothing,Buy1Get1,West,2023-09-14,14613,1487,13126,2023,9,9,66332,1,10.18,165.22,Medium,September
2016,Toys,Buy1Get1,Central,2024-02-05,968,460,508,2024,2,7,147000,1,47.52,65.71,Low,February
4773,Clothing,Percentage,Central,2022-07-07,9378,1015,8363,2022,7,8,77047,1,10.82,126.88,Medium,July
3343,Home & Kitchen,Percentage,Central,2022-01-31,11498,2131,9367,2022,1,5,40397,1,18.53,426.2,Medium,January
4796,Books,Percentage,Central,2022-09-16,5757,4120,1637,2022,9,8,170645,1,71.57,515.0,Low,September
3767,Clothing,Flat,North,2023-11-06,10751,3749,7002,2023,11,2,98575,0,34.87,1874.5,Medium,November
4820,Home & Kitchen,Buy1Get1,South,2022-12-10,16780,3488,13292,2022,12,3,181303,1,20.79,1162.67,Medium,December
1337,Clothing,Flat,East,2022-11-04,18891,4732,14159,2022,11,3,154697,1,25.05,1577.33,Medium,November
1878,Toys,Free Shipping,North,2022-03-12,1589,3859,0,2022,3,6,117154,1,242.86,643.17,,March
2076,Groceries,Free Shipping,East,2022-11-03,6939,4480,2459,2022,11,2,56549,1,64.56,2240.0,Low,November
1791,Clothing,Percentage,Central,2023-07-22,10973,2858,8115,2023,7,8,56458,1,26.05,357.25,Medium,July
4993,Toys,Free Shipping,East,2022-04-09,10463,4740,5723,2022,4,4,32095,1,45.3,1185.0,Medium,April
3264,Beauty,Buy1Get1,West,2022-01-21,19574,4622,14952,2022,1,5,176805,1,23.61,924.4,Medium,January
1763,Home & Kitchen,Free Shipping,West,2024-06-15,13586,542,13044,2024,6,5,139963,1,3.99,108.4,Medium,June
3235,Electronics,Percentage,South,2023-09-12,10061,725,9336,2023,9,6,24467,1,7.21,120.83,Medium,September
1379,Books,Flat,South,2023-07-19,15458,1779,13679,2023,7,7,83549,1,11.51,254.14,Medium,July
1492,Electronics,Free Shipping,East,2022-01-06,16017,269,15748,2022,1,8,99173,1,1.68,33.62,High,January
4112,Home & Kitchen,Buy1Get1,North,2022-08-19,6453,4364,2089,2022,8,3,174755,1,67.63,1454.67,Low,August
2180,Groceries,Buy1Get1,North,2022-03-23,6433,1394,5039,2022,3,7,65917,1,21.67,199.14,Medium,March
3062,Clothing,Buy1Get1,Central,2022-08-05,12524,1846,10678,2022,8,2,192424,1,14.74,923.0,Medium,August
4884,Groceries,Flat,North,2022-12-01,4867,2150,2717,2022,12,8,115539,1,44.18,268.75,Low,December
1064,Electronics,Buy1Get1,South,2023-07-13,10618,3498,7120,2023,7,3,136676,1,32.94,1166.0,Medium,July
4928,Books,Percentage,North,2024-05-13,16311,1123,15188,2024,5,5,77380,1,6.88,224.6,High,May
4910,Toys,Percentage,Central,2024-05-23,14255,4013,10242,2024,5,5,151289,1,28.15,802.6,Medium,May
3568,Books,Buy1Get1,West,2024-01-23,9323,278,9045,2024,1,9,184412,1,2.98,30.89,Medium,January
2367,Home & Kitchen,Free Shipping,North,2023-11-21,7188,4237,2951,2023,11,4,34646,1,58.95,1059.25,Low,November
2152,Home & Kitchen,Buy1Get1,North,2023-08-17,13955,1167,12788,2023,8,6,67237,1,8.36,194.5,Medium,August
3027,Groceries,Percentage,South,2024-03-09,9934,924,9010,2024,3,9,29356,1,9.3,102.67,Medium,March
3695,Toys,Percentage,East,2023-12-05,16136,2159,13977,2023,12,2,85336,1,13.38,1079.5,Medium,December
2495,Groceries,Percentage,West,2023-10-17,2192,3198,0,2023,10,4,38686,1,145.89,799.5,,October
4134,Clothing,Free Shipping,East,2024-04-05,12098,4167,7931,2024,4,1,163524,1,34.44,4167.0,Medium,April
2162,Beauty,Free Shipping,Central,2024-03-01,4259,4409,0,2024,3,9,143109,1,103.52,489.89,,March
2522,Toys,Free Shipping,Central,2023-07-07,7093,2367,4726,2023,7,6,161104,1,33.37,394.5,Low,July
3640,Beauty,Percentage,East,2023-04-04,11941,1611,10330,2023,4,3,71989,1,13.49,537.0,Medium,April
1391,Books,Flat,South,2024-02-22,19728,2261,17467,2024,2,8,86257,1,11.46,282.62,High,February
2698,Clothing,Buy1Get1,South,2022-03-28,15589,3648,11941,2022,3,6,84624,1,23.4,608.0,Medium,March
1418,Beauty,Buy1Get1,South,2023-05-30,15906,874,15032,2023,5,2,122713,1,5.49,437.0,High,May
3336,Electronics,Percentage,West,2023-12-24,9926,770,9156,2023,12,2,181393,1,7.76,385.0,Medium,December
1378,Books,Free Shipping,Central,2023-05-28,16076,4069,12007,2023,5,7,159798,1,25.31,581.29,Medium,May
2796,Beauty,Flat,Central,2023-08-10,13234,2387,10847,2023,8,4,32645,1,18.04,596.75,Medium,August
4561,Clothing,Flat,Central,2023-04-23,19258,258,19000,2023,4,1,82148,1,1.34,258.0,High,April
3278,Beauty,Free Shipping,West,2023-05-13,4748,2715,2033,2023,5,5,187646,1,57.18,543.0,Low,May
4065,Home & Kitchen,Buy1Get1,Central,2024-06-25,14463,4656,9807,2024,6,4,183470,1,32.19,1164.0,Medium,June
3088,Groceries,Buy1Get1,East,2024-01-13,1752,1336,416,2024,1,4,84566,1,76.26,334.0,Low,January
4099,Electronics,Flat,North,2023-03-25,6214,2324,3890,2023,3,2,179849,1,37.4,1162.0,Low,March
3182,Home & Kitchen,Flat,West,2023-08-11,13306,127,13179,2023,8,8,114336,1,0.95,15.88,Medium,August
1200,Home & Kitchen,Free Shipping,North,2022-09-17,17976,1624,16352,2022,9,9,125778,1,9.03,180.44,High,September
2863,Clothing,Buy1Get1,East,2023-06-21,15596,1928,13668,2023,6,5,168201,1,12.36,385.6,Medium,June
1779,Groceries,Flat,South,2022-07-19,16443,2250,14193,2022,7,7,178514,1,13.68,321.43,Medium,July
3977,Groceries,Buy1Get1,South,2023-04-08,8772,3797,4975,2023,4,8,145855,1,43.29,474.62,Low,April
4104,Toys,Flat,South,2022-04-04,848,386,462,2022,4,10,36138,1,45.52,38.6,Low,April
4119,Books,Free Shipping,West,2022-12-18,12733,4946,7787,2022,12,3,119450,1,38.84,1648.67,Medium,December
1502,Electronics,Buy1Get1,South,2022-04-18,4860,2929,1931,2022,4,7,41259,1,60.27,418.43,Low,April
3454,Books,Flat,West,2022-12-21,11809,3614,8195,2022,12,1,47643,1,30.6,3614.0,Medium,December
4645,Clothing,Flat,West,2023-04-14,1020,2941,0,2023,4,9,61085,1,288.33,326.78,,April
2751,Electronics,Flat,North,2022-04-05,17055,4288,12767,2022,4,10,52264,1,25.14,428.8,Medium,April
1804,Toys,Flat,South,2024-05-17,16120,1760,14360,2024,5,6,111648,1,10.92,293.33,Medium,May
3146,Beauty,Free Shipping,Central,2022-04-01,16705,2838,13867,2022,4,1,134130,1,16.99,2838.0,Medium,April
3731,Home & Kitchen,Buy1Get1,South,2022-02-13,16490,1373,15117,2022,2,3,144682,1,8.33,457.67,High,February
2895,Electronics,Buy1Get1,South,2023-04-01,7895,471,7424,2023,4,1,106049,1,5.97,471.0,Medium,April
3773,Books,Percentage,South,2023-01-19,5076,4586,490,2023,1,6,69164,1,90.35,764.33,Low,January
2570,Home & Kitchen,Buy1Get1,Central,2022-01-23,19379,4436,14943,2022,1,1,193972,1,22.89,4436.0,Medium,January
1960,Clothing,Percentage,Central,2023-12-03,4416,4556,0,2023,12,4,107917,1,103.17,1139.0,,December
4810,Books,Flat,West,2022-01-23,18770,2466,16304,2022,1,7,60044,1,13.14,352.29,High,January
3660,Beauty,Free Shipping,Central,2022-08-22,2334,2255,79,2022,8,8,51280,1,96.62,281.88,Low,August
2485,Clothing,Free Shipping,West,2023-11-29,2377,3529,0,2023,11,2,72480,1,148.46,1764.5,,November
3690,Beauty,Flat,North,2022-11-07,18883,904,17979,2022,11,4,82848,1,4.79,226.0,High,November
4840,Beauty,Percentage,West,2023-02-21,17967,3539,14428,2023,2,1,33232,1,19.7,3539.0,Medium,February
2028,Home & Kitchen,Flat,South,2022-11-29,11893,762,11131,2022,11,7,190259,1,6.41,108.86,Medium,November
4289,Clothing,Free Shipping,East,2023-07-29,4342,2059,2283,2023,7,7,41450,1,47.42,294.14,Low,July
1502,Clothing,Free Shipping,East,2022-04-13,18552,2582,15970,2022,4,9,184543,1,13.92,286.89,High,April
3814,Electronics,Buy1Get1,South,2023-05-15,12054,1280,10774,2023,5,9,58544,1,10.62,142.22,Medium,May
1397,Books,Percentage,West,2024-04-07,2672,4296,0,2024,4,10,85017,1,160.78,429.6,,April
1870,Clothing,Buy1Get1,South,2023-04-28,15500,4525,10975,2023,4,3,165422,1,29.19,1508.33,Medium,April
3842,Electronics,Free Shipping,Central,2022-07-08,13218,2354,10864,2022,7,10,164475,1,17.81,235.4,Medium,July
1392,Groceries,Free Shipping,West,2024-04-27,12598,405,12193,2024,4,4,51648,1,3.21,101.25,Medium,April
1206,Groceries,Buy1Get1,South,2023-04-05,3310,622,2688,2023,4,2,39710,1,18.79,311.0,Low,April
2038,Groceries,Buy1Get1,Central,2022-07-08,8526,462,8064,2022,7,1,160141,1,5.42,462.0,Medium,July
2881,Toys,Free Shipping,Central,2022-12-17,13806,3327,10479,2022,12,5,172267,1,24.1,665.4,Medium,December
4625,Clothing,Buy1Get1,West,2023-08-04,9001,2652,6349,2023,8,3,100970,1,29.46,884.0,Medium,August
3939,Toys,Buy1Get1,North,2022-04-24,11426,3987,7439,2022,4,9,151014,1,34.89,443.0,Medium,April
2484,Books,Percentage,North,2022-04-14,3974,3321,653,2022,4,2,129993,1,83.57,1660.5,Low,April
4762,Clothing,Free Shipping,Central,2023-09-12,458,2321,0,2023,9,4,110441,1,506.77,580.25,,September
4646,Electronics,Flat,North,2023-05-23,7068,4470,2598,2023,5,4,158597,1,63.24,1117.5,Low,May
1863,Toys,Percentage,Central,2022-12-11,7017,3586,3431,2022,12,8,174812,1,51.1,448.25,Low,December
3790,Toys,Flat,North,2022-01-21,5944,2496,3448,2022,1,2,138990,1,41.99,1248.0,Low,January
4312,Books,Buy1Get1,Central,2023-01-22,12292,4590,7702,2023,1,2,134198,1,37.34,2295.0,Medium,January
1563,Toys,Buy1Get1,Central,2024-02-17,16821,4030,12791,2024,2,3,66773,1,23.96,1343.33,Medium,February
2020,Beauty,Flat,Central,2024-05-04,3555,2409,1146,2024,5,1,102936,1,67.76,2409.0,Low,May
1095,Electronics,Buy1Get1,Central,2022-07-28,8104,1850,6254,2022,7,6,165773,1,22.83,308.33,Medium,July
2923,Groceries,Buy1Get1,East,2023-11-13,1358,4093,0,2023,11,7,28678,1,301.4,584.71,,November
2757,Electronics,Percentage,North,2023-04-28,794,3434,0,2023,4,10,184666,1,432.49,343.4,,April
3532,Beauty,Flat,Central,2023-04-18,18334,4849,13485,2023,4,2,42788,1,26.45,2424.5,Medium,April
4478,Books,Percentage,South,2023-12-07,16986,2286,14700,2023,12,1,176728,1,13.46,2286.0,Medium,December
3278,Books,Flat,West,2024-05-08,10627,615,10012,2024,5,8,152691,1,5.79,76.88,Medium,May
3796,Clothing,Percentage,South,2023-01-28,19124,210,18914,2023,1,5,90172,1,1.1,42.0,High,January
2678,Electronics,Free Shipping,South,2023-09-27,10694,3482,7212,2023,9,4,22056,1,32.56,870.5,Medium,September
4242,Books,Free Shipping,East,2023-11-20,7690,663,7027,2023,11,9,67108,1,8.62,73.67,Medium,November
1540,Toys,Flat,North,2023-05-31,14960,4209,10751,2023,5,10,145658,1,28.14,420.9,Medium,May
2059,Books,Free Shipping,East,2022-07-07,5734,1138,4596,2022,7,8,72285,1,19.85,142.25,Low,July
3572,Books,Percentage,North,2022-12-12,5486,3787,1699,2022,12,3,150461,1,69.03,1262.33,Low,December
2183,Books,Flat,Central,2022-12-18,1813,1687,126,2022,12,10,147666,1,93.05,168.7,Low,December
4910,Books,Free Shipping,East,2023-06-25,12972,1125,11847,2023,6,9,60228,1,8.67,125.0,Medium,June
2722,Groceries,Free Shipping,West,2023-08-21,5851,4455,1396,2023,8,9,180594,1,76.14,495.0,Low,August
4314,Groceries,Flat,North,2022-02-16,3752,2875,877,2022,2,3,190879,1,76.63,958.33,Low,February
4157,Clothing,Free Shipping,East,2022-03-18,12070,2179,9891,2022,3,1,72328,1,18.05,2179.0,Medium,March
2819,Books,Free Shipping,West,2022-12-09,16261,4418,11843,2022,12,6,166127,1,27.17,736.33,Medium,December
3625,Electronics,Flat,South,2022-07-10,5196,4166,1030,2022,7,10,182071,1,80.18,416.6,Low,July
3729,Beauty,Free Shipping,Central,2023-06-27,1664,825,839,2023,6,2,186144,1,49.58,412.5,Low,June
3604,Clothing,Free Shipping,Central,2024-03-29,6482,720,5762,2024,3,7,41369,1,11.11,102.86,Medium,March
2597,Electronics,Free Shipping,South,2023-11-12,6445,3811,2634,2023,11,2,50196,1,59.13,1905.5,Low,November
4060,Books,Free Shipping,East,2022-02-05,6811,4776,2035,2022,2,10,165683,1,70.12,477.6,Low,February
3693,Home & Kitchen,Buy1Get1,South,2024-01-27,3300,1820,1480,2024,1,6,125115,1,55.15,303.33,Low,January
1795,Books,Flat,West,2023-02-28,4313,1927,2386,2023,2,7,77591,1,44.68,275.29,Low,February
2051,Groceries,Buy1Get1,North,2022-12-17,4293,1156,3137,2022,12,3,184460,1,26.93,385.33,Low,December
2643,Beauty,Buy1Get1,East,2022-07-07,8324,4151,4173,2022,7,4,180895,1,49.87,1037.75,Low,July
4627,Toys,Percentage,North,2023-06-11,10428,642,9786,2023,6,9,148657,1,6.16,71.33,Medium,June
2363,Beauty,Buy1Get1,South,2022-11-30,3779,2916,863,2022,11,5,142684,1,77.16,583.2,Low,November
4869,Toys,Buy1Get1,Central,2023-04-28,9771,4988,4783,2023,4,7,194478,1,51.05,712.57,Low,April
2981,Beauty,Percentage,North,2022-08-04,7766,1435,6331,2022,8,7,116996,1,18.48,205.0,Medium,August
2354,Groceries,Free Shipping,North,2022-06-07,9433,2082,7351,2022,6,4,42742,1,22.07,520.5,Medium,June
2663,Toys,Free Shipping,Central,2023-10-29,1773,2707,0,2023,10,8,21881,1,152.68,338.38,,October
2529,Electronics,Buy1Get1,North,2022-08-29,12863,4282,8581,2022,8,5,137630,1,33.29,856.4,Medium,August
3038,Toys,Percentage,North,2022-10-23,9755,1708,8047,2022,10,4,52266,1,17.51,427.0,Medium,October
4419,Clothing,Free Shipping,Central,2023-04-07,15709,4178,11531,2023,4,7,121846,1,26.6,596.86,Medium,April
2496,Electronics,Percentage,Central,2022-02-14,9402,222,9180,2022,2,9,56224,1,2.36,24.67,Medium,February
